,station_name,station_id,latitude,longitude
96,W 22 St & 10 Ave,6306.06,40.74691959,-74.00451887
97,W 26 St & 8 Ave,6297.02,40.74734825,-73.99723551
98,34 St & 35 Ave,6605.08,40.7569332,-73.9262231
99,W 48 St &  Rockefeller Plaza,6626.11,40.75776935448309,-73.97929430007935
100,Hicks St & Montague St,4645.09,40.69512845,-73.99595065
101,21 Ave & Crescent St,7284.01,40.780478,-73.912212
102,Central Park West & W 85 St,7354.01,40.78476,-73.969862
103,5 Ave & W 126 St,7701.21,40.80722,-73.9418
104,Kane St & Clinton St,4455.11,40.6861758,-73.99645295
105,St James Pl & Pearl St,5167.06,40.71117416,-74.00016545
106,3 Ave & Carroll St,4143.04,40.677027,-73.9865
107,E 118 St & 3 Ave,7611.02,40.799139,-73.9389152
108,Anthony Ave & E 175 St,8319.01,40.846465,-73.903869
109,E 171 St & 3 Ave,8171.06,40.837119,-73.902185
110,24 St & 41 Ave,6505.09,40.752474,-73.939991
111,E 51 St & 1 Ave,6532.06,40.75455731,-73.96592976
112,W 42 St & Dyer Ave,6644.07,40.75898481399634,-73.99379968643188
113,Vernon Blvd & 10 St,6937.07,40.7671863,-73.9373554
114,Murray St & West St,5329.06,40.7149787,-74.013012
115,E 45 St & 3 Ave,6464.08,40.75255434,-73.97282625
116,E 63 St & 3 Ave,6830.02,40.763954,-73.9646
117,E 54 St & 1 Ave,6608.09,40.756265,-73.964179
118,11 St & 43 Ave,6438.04,40.7519071,-73.9479119
119,E 58 St & 3 Ave,6762.02,40.76095756,-73.96724467
120,Wadsworth Ave & W 175 St,8299.03,40.846052,-73.937648
121,W 59 St & 10 Ave,7023.04,40.770513,-73.988038
122,E 14 St & 1 Ave,5779.1,40.73139303364151,-73.98286700248718
123,1 Pl & Clinton St,4193.14,40.6809591,-73.99905709
124,Bergen St & 4 Ave,4322.06,40.68256425759694,-73.9798977971077
125,6 Ave & Broome St,5610.09,40.72431,-74.00473
126,43 St & Broadway,6670.03,40.7577284,-73.9166368
127,Adam Clayton Powell Blvd & W 115 St,7643.18,40.802535,-73.9532423
128,Caton Ave & E 7 St,3199.01,40.647718,-73.973663
129,E 110 St & Madison Ave,7587.14,40.7961535,-73.94782145
130,Vernon Blvd & 30 Rd,7003.03,40.770845,-73.934171
131,Washington Ave & Greene Ave,4419.03,40.68650065,-73.96563307
132,1 St & 6 Ave,3946.07,40.672784,-73.979826
133,E 128 St & 3 Ave,7696.07,40.805631,-73.934077
134,E 157 St & River Ave,8005.03,40.825737,-73.927311
135,Vernon Blvd & 50 Ave,6170.02,40.74232744,-73.95411749
136,Central Park North & Adam Clayton Powell Blvd,7617.07,40.799484,-73.955613
137,Willoughby Ave & Hall St,4611.03,40.69196035,-73.96536851
138,W 35 St & Dyer Ave,6569.08,40.754691750226016,-73.99740189313889
139,Great Jones St,5636.11,40.72743423,-73.99379025
140,W 163 St & Edgecombe Ave,8153.1,40.835798,-73.937496
141,Greenwich St & W Houston St,5730.08,40.728846,-74.008591
142,Washington Pl & Broadway,5755.01,40.72903917,-73.99404649
143,Fulton St & William St,5137.11,40.70960089363537,-74.00655090808868
144,31 St & Astoria Blvd,6989.07,40.7699176,-73.9184057
145,Allen St & Rivington St,5414.06,40.72019576,-73.98997825
146,Water St & Gouverneur Ln,4993.15,40.70469667894968,-74.00803416967392
147,Hudson St & Reade St,5359.1,40.71625008,-74.0091059
148,E 169 St & Webster Ave,8122.04,40.834015,-73.908863
149,Warren St & Smith St,4371.01,40.68542400997018,-73.99127773940563
150,Marcy Ave & Lafayette Ave,4476.03,40.6900815,-73.947915
151,E 17 St & Broadway,5980.07,40.73704984,-73.99009296
152,Wilkins Ave & Crotona Park E,8167.02,40.835302,-73.895133
153,W 47 St & 6 Ave,6667.04,40.758397,-73.98255
154,Carroll St & Franklin Ave,3847.04,40.6679411,-73.9588
155,Astoria Park S & Shore Blvd,7159.08,40.7767,-73.927631
156,E 92 St & Park Ave,7344.06,40.78385,-73.95416
157,Old Fulton St,4903.08,40.70277159,-73.99383605
158,President St & 4 Ave,4101.17,40.676757,-73.983262
159,Barrow St & Hudson St,5805.05,40.73172428,-74.00674436
160,Vernon Blvd & 41 Rd,6514.08,40.7552433,-73.9485678
161,31 St & Hoyt Ave N,7018.01,40.7711528,-73.9170074
162,Riverside Dr & W 153 St,8108.02,40.832164,-73.949702
163,Washington Pl & 6 Ave,5838.09,40.73224119,-74.00026394
164,W 13 St & 7 Ave,6030.04,40.73781509,-73.99994661
165,2 Ave & E 55 St,6650.08,40.757920208794026,-73.96638214588165
166,Crescent St & 34 Ave,6759.15,40.76108,-73.930562
167,21 St & Hoyt Ave S,7126.01,40.774645,-73.923706
168,Park Pl & Church St,5288.08,40.71334184275907,-74.00935515761375
169,Nassau St\t& Duffield St,4781.05,40.698477,-73.98384
170,3 Ave & E 112 St,7543.15,40.795508,-73.941606
171,Amsterdam Ave & W 156 St,8104.1,40.832081,-73.942386
172,St Nicholas Ave & W 134 St,7837.3,40.816234,-73.948222
173,Congress St & Hicks St,4497.09,40.6893952,-73.9995126
174,Harrison St & Hudson St,5400.05,40.71870987,-74.0090009
175,Milton St & Franklin St,5752.07,40.72906,-73.95779
176,Montgomery St & Franklin Ave,3776.05,40.666439306870814,-73.9605563879013
177,Franklin Ave & E 169 St,8118.02,40.83171,-73.90208
178,Underhill Ave & Pacific St,4231.04,40.6804836,-73.9646795
179,W 106 St & Central Park West,7606.01,40.7981856,-73.9605909006
180,E 3 St & 1 Ave,5553.03,40.72467721,-73.98783413
181,E 25 St & 2 Ave,6046.02,40.73912601,-73.97973776
182,W 63 St & Broadway,7052.01,40.77163851,-73.98261428
183,W 116 St & Amsterdam Ave,7692.11,40.8067581,-73.9607082
184,E 76 St & Park Ave,7128.08,40.773763,-73.96222088
185,Prospect Park SW & 10 Ave,3611.02,40.659945,-73.977504
